With Rotated Coordinates: Normal Score Transform: pygeostat_saved_data
 7
X
Y
Z
value
NS_value
Rotated X
Rotated Y
0.500000 0.500000 0.500000 0.000000     -2.67379 0.44499672     0.54952518    
5.500000 0.500000 0.500000 0.000000     -2.37603  5.4176062      1.0721675    
10.500000 0.500000 0.500000 204.054993     -0.10989  10.390216      1.5948098    
15.500000 0.500000 0.500000 157.588303     -0.34180  15.362825      2.1174521    
20.500000 0.500000 0.500000 210.154999     -0.06585  20.335435      2.6400944    
25.500000 0.500000 0.500000 386.173309      0.59402  25.308044      3.1627367    
30.500000 0.500000 0.500000 422.756592      0.66274  30.280654      3.6853791    
35.500000 0.500000 0.500000 541.809998      0.99961  35.253263      4.2080214    
40.500000 0.500000 0.500000 576.163330      1.15644  40.225873      4.7306637    
45.500000 0.500000 0.500000 549.518372      1.04181  45.198482      5.2533060    
50.500000 0.500000 0.500000 200.958298     -0.13514  50.171091      5.7759483    
55.500000 0.500000 0.500000 375.029907      0.54246  55.143701      6.2985906    
60.500000 0.500000 0.500000 320.968292      0.34180  60.116310      6.8212329    
65.500000 0.500000 0.500000 374.281708      0.53522  65.088920      7.3438752    
70.500000 0.500000 0.500000 270.466705      0.16048  70.061529      7.8665176    
75.500000 0.500000 0.500000 14.636700     -1.21991  75.034139      8.3891599    
80.500000 0.500000 0.500000 138.963303     -0.41588  80.006748      8.9118022    
85.500000 0.500000 0.500000 330.253296      0.37522  84.979358      9.4344445    
90.500000 0.500000 0.500000 363.000000      0.49940  89.951967      9.9570868    
95.500000 0.500000 0.500000 122.781700     -0.51365  94.924577      10.479729    
0.500000 5.500000 0.500000 0.000000     -1.89949 -.77645596E-01  5.5221347    
5.500000 5.500000 0.500000 11.474400     -1.27446  4.8949639      6.0447770    
10.500000 5.500000 0.500000 43.175598     -0.94924  9.8675734      6.5674193    
15.500000 5.500000 0.500000 107.290001     -0.60904  14.840183      7.0900616    
20.500000 5.500000 0.500000 281.265503      0.21150  19.812792      7.6127039    
25.500000 5.500000 0.500000 313.061096      0.30877  24.785402      8.1353462    
30.500000 5.500000 0.500000 424.531097      0.67056  29.758011      8.6579885    
35.500000 5.500000 0.500000 253.062195      0.10358  34.730621      9.1806308    
40.500000 5.500000 0.500000 407.880005      0.63183  39.703230      9.7032732    
45.500000 5.500000 0.500000 222.167801      0.00313  44.675840      10.225915    
50.500000 5.500000 0.500000 283.696686      0.24365  49.648449      10.748558    
55.500000 5.500000 0.500000 216.302200     -0.03447  54.621059      11.271200    
60.500000 5.500000 0.500000 261.458893      0.12882  59.593668      11.793842    
65.500000 5.500000 0.500000 235.391098      0.04702  64.566278      12.316485    
70.500000 5.500000 0.500000 474.660004      0.81950  69.538887      12.839127    
75.500000 5.500000 0.500000 277.003296      0.19870  74.511497      13.361769    
80.500000 5.500000 0.500000 428.578888      0.67843  79.484106      13.884412    
85.500000 5.500000 0.500000 772.396606      1.65710  84.456716      14.407054    
90.500000 5.500000 0.500000 503.337799      0.90117  89.429325      14.929696    
95.500000 5.500000 0.500000 177.917801     -0.26307  94.401934      15.452339    
0.500000 10.500000 0.500000 66.873299     -0.84609 -.60028791      10.494744    
5.500000 10.500000 0.500000 66.746696     -0.86416  4.3723216      11.017386    
10.500000 10.500000 0.500000 77.235603     -0.78492  9.3449310      11.540029    
15.500000 10.500000 0.500000 94.454399     -0.69429  14.317541      12.062671    
20.500000 10.500000 0.500000 51.272202     -0.92975  19.290150      12.585313    
25.500000 10.500000 0.500000 234.729996      0.04074  24.262759      13.107956    
30.500000 10.500000 0.500000 528.935608      0.95912  29.235369      13.630598    
35.500000 10.500000 0.500000 482.937805      0.85509  34.207978      14.153240    
40.500000 10.500000 0.500000 505.185486      0.92014  39.180588      14.675883    
45.500000 10.500000 0.500000 65.401100     -0.89180  44.153197      15.198525    
50.500000 10.500000 0.500000 73.295601     -0.79348  49.125807      15.721167    
55.500000 10.500000 0.500000 219.704498     -0.00940  54.098416      16.243810    
60.500000 10.500000 0.500000 225.733307      0.01567  59.071026      16.766452    
65.500000 10.500000 0.500000 182.372192     -0.23720  64.043635      17.289094    
70.500000 10.500000 0.500000 390.133301      0.60151  69.016245      17.811737    
75.500000 10.500000 0.500000 93.995598     -0.70229  73.988854      18.334379    
80.500000 10.500000 0.500000 445.234497      0.74297  78.961464      18.857021    
85.500000 10.500000 0.500000 377.331085      0.54974  83.934073      19.379663    
90.500000 10.500000 0.500000 231.436707      0.02820  88.906683      19.902306    
95.500000 10.500000 0.500000 104.372200     -0.63183  93.879292      20.424948    
0.500000 15.500000 0.500000 541.830017      1.00999 -1.1229302      15.467354    
5.500000 15.500000 0.500000 172.673294     -0.27606  3.8496793      15.989996    
10.500000 15.500000 0.500000 87.331100     -0.72655  8.8222887      16.512638    
15.500000 15.500000 0.500000 186.407806     -0.21150  13.794898      17.035281    
20.500000 15.500000 0.500000 118.986702     -0.54246  18.767508      17.557923    
25.500000 15.500000 0.500000 208.202194     -0.07841  23.740117      18.080565    
30.500000 15.500000 0.500000 676.192322      1.44842  28.712727      18.603207    
35.500000 15.500000 0.500000 554.272217      1.06362  33.685336      19.125850    
40.500000 15.500000 0.500000 558.902222      1.10884  38.657946      19.648492    
45.500000 15.500000 0.500000 272.997803      0.16683  43.630555      20.171134    
50.500000 15.500000 0.500000 81.733299     -0.75959  48.603165      20.693777    
55.500000 15.500000 0.500000 313.634399      0.31534  53.575774      21.216419    
60.500000 15.500000 0.500000 145.955597     -0.38195  58.548384      21.739061    
65.500000 15.500000 0.500000 191.756699     -0.17956  63.520993      22.261704    
70.500000 15.500000 0.500000 113.223297     -0.56437  68.493602      22.784346    
75.500000 15.500000 0.500000 87.401100     -0.71842  73.466212      23.306988    
80.500000 15.500000 0.500000 191.653305     -0.19231  78.438821      23.829631    
85.500000 15.500000 0.500000 343.973389      0.40905  83.411431      24.352273    
90.500000 15.500000 0.500000 90.415604     -0.71033  88.384040      24.874915    
95.500000 15.500000 0.500000 341.132202      0.40225  93.356650      25.397558    
0.500000 20.500000 0.500000 633.525024      1.30322 -1.6455725      20.439963    
5.500000 20.500000 0.500000 667.548889      1.39671  3.3270369      20.962605    
10.500000 20.500000 0.500000 482.946686      0.86416  8.2996464      21.485248    
15.500000 20.500000 0.500000 770.286682      1.63285  13.272256      22.007890    
20.500000 20.500000 0.500000 294.677795      0.28911  18.244865      22.530532    
25.500000 20.500000 0.500000 305.768890      0.29565  23.217475      23.053175    
30.500000 20.500000 0.500000 479.667786      0.84609  28.190084      23.575817    
35.500000 20.500000 0.500000 605.803284      1.23320  33.162694      24.098459    
40.500000 20.500000 0.500000 218.581100     -0.02193  38.135303      24.621102    
45.500000 20.500000 0.500000 443.858887      0.73474  43.107913      25.143744    
50.500000 20.500000 0.500000 224.752197      0.00940  48.080522      25.666386    
55.500000 20.500000 0.500000 357.417786      0.47821  53.053132      26.189029    
60.500000 20.500000 0.500000 329.866608      0.36850  58.025741      26.711671    
65.500000 20.500000 0.500000 0.000000     -1.93901  62.998351      27.234313    
70.500000 20.500000 0.500000 9.778900     -1.36421  67.970960      27.756955    
75.500000 20.500000 0.500000 252.237793      0.09729  72.943570      28.279598    
80.500000 20.500000 0.500000 459.354401      0.75959  77.916179      28.802240    
85.500000 20.500000 0.500000 150.772202     -0.37522  82.888789      29.324882    
90.500000 20.500000 0.500000 277.854401      0.20509  87.861398      29.847525    
95.500000 20.500000 0.500000 358.205505      0.48525  92.834008      30.370167    
0.500000 25.500000 0.500000 943.635010      2.37603 -2.1682148      25.412573    
5.500000 25.500000 0.500000 804.471130      1.76538  2.8043946      25.935215    
10.500000 25.500000 0.500000 659.869995      1.36421  7.7770041      26.457857    
15.500000 25.500000 0.500000 556.913330      1.08595  12.749614      26.980500    
20.500000 25.500000 0.500000 346.709991      0.43646  17.722223      27.503142    
25.500000 25.500000 0.500000 80.099998     -0.77642  22.694833      28.025784    
30.500000 25.500000 0.500000 499.897797      0.89180  27.667442      28.548426    
35.500000 25.500000 0.500000 720.216675      1.52403  32.640051      29.071069    
40.500000 25.500000 0.500000 350.205505      0.45724  37.612661      29.593711    
45.500000 25.500000 0.500000 530.035522      0.97916  42.585270      30.116353    
50.500000 25.500000 0.500000 468.263306      0.78492  47.557880      30.638996    
55.500000 25.500000 0.500000 440.191101      0.71033  52.530489      31.161638    
60.500000 25.500000 0.500000 281.331085      0.21791  57.503099      31.684280    
65.500000 25.500000 0.500000 104.641098     -0.62419  62.475708      32.206923    
70.500000 25.500000 0.500000 14.106700     -1.23320  67.448318      32.729565    
75.500000 25.500000 0.500000 144.353302     -0.38870  72.420927      33.252207    
80.500000 25.500000 0.500000 197.258896     -0.16048  77.393537      33.774850    
85.500000 25.500000 0.500000 136.416702     -0.42958  82.366146      34.297492    
90.500000 25.500000 0.500000 152.614395     -0.36180  87.338756      34.820134    
95.500000 25.500000 0.500000 152.516693     -0.36850  92.311365      35.342776    
0.500000 30.500000 0.500000 320.226715      0.33517 -2.6908572      30.385182    
5.500000 30.500000 0.500000 781.194519      1.70874  2.2817523      30.907824    
10.500000 30.500000 0.500000 594.945618      1.20682  7.2543618      31.430467    
15.500000 30.500000 0.500000 546.493408      1.03109  12.226971      31.953109    
20.500000 30.500000 0.500000 647.992188      1.33310  17.199581      32.475751    
25.500000 30.500000 0.500000 0.000000     -2.49771  22.172190      32.998394    
30.500000 30.500000 0.500000 570.921082      1.14430  27.144800      33.521036    
35.500000 30.500000 0.500000 943.423279      2.28182  32.117409      34.043678    
40.500000 30.500000 0.500000 569.085571      1.12050  37.090019      34.566321    
45.500000 30.500000 0.500000 108.952202     -0.58656  42.062628      35.088963    
50.500000 30.500000 0.500000 377.399994      0.55704  47.035238      35.611605    
55.500000 30.500000 0.500000 184.411102     -0.21791  52.007847      36.134247    
60.500000 30.500000 0.500000 626.222290      1.26047  56.980457      36.656890    
65.500000 30.500000 0.500000 528.228882      0.94924  61.953066      37.179532    
70.500000 30.500000 0.500000 696.080017      1.50432  66.925676      37.702174    
75.500000 30.500000 0.500000 438.438812      0.70229  71.898285      38.224817    
80.500000 30.500000 0.500000 825.535522      1.89949  76.870894      38.747459    
85.500000 30.500000 0.500000 195.571106     -0.17319  81.843504      39.270101    
90.500000 30.500000 0.500000 0.000000     -2.02859  86.816113      39.792744    
95.500000 30.500000 0.500000 0.000000     -2.08028  91.788723      40.315386    
0.500000 35.500000 0.500000 662.445007      1.38028 -3.2134995      35.357792    
5.500000 35.500000 0.500000 338.700012      0.38870  1.7591100      35.880434    
10.500000 35.500000 0.500000 496.092194      0.88251  6.7317195      36.403076    
15.500000 35.500000 0.500000 445.892212      0.75125  11.704329      36.925718    
20.500000 35.500000 0.500000 490.066711      0.87330  16.676938      37.448361    
25.500000 35.500000 0.500000 469.837708      0.79348  21.649548      37.971003    
30.500000 35.500000 0.500000 820.145630      1.86273  26.622157      38.493645    
35.500000 35.500000 0.500000 721.133423      1.54436  31.594767      39.016288    
40.500000 35.500000 0.500000 419.187805      0.65495  36.567376      39.538930    
45.500000 35.500000 0.500000 96.012199     -0.67843  41.539986      40.061572    
50.500000 35.500000 0.500000 135.607803     -0.43646  46.512595      40.584215    
55.500000 35.500000 0.500000 157.479996     -0.34845  51.485205      41.106857    
60.500000 35.500000 0.500000 282.026703      0.23076  56.457814      41.629499    
65.500000 35.500000 0.500000 628.464417      1.27446  61.430424      42.152142    
70.500000 35.500000 0.500000 380.188812      0.56437  66.403033      42.674784    
75.500000 35.500000 0.500000 504.958893      0.91061  71.375643      43.197426    
80.500000 35.500000 0.500000 745.307678      1.58706  76.348252      43.720069    
85.500000 35.500000 0.500000 674.889893      1.41353  81.320862      44.242711    
90.500000 35.500000 0.500000 191.685593     -0.18593  86.293471      44.765353    
95.500000 35.500000 0.500000 24.378901     -1.10884  91.266081      45.287995    
0.500000 40.500000 0.500000 283.859985      0.25011 -3.7361418      40.330401    
5.500000 40.500000 0.500000 267.544403      0.14780  1.2364677      40.853043    
10.500000 40.500000 0.500000 124.724503     -0.49231  6.2090772      41.375686    
15.500000 40.500000 0.500000 126.336700     -0.48525  11.181687      41.898328    
20.500000 40.500000 0.500000 204.091095     -0.10358  16.154296      42.420970    
25.500000 40.500000 0.500000 293.524506      0.26307  21.126906      42.943613    
30.500000 40.500000 0.500000 557.384521      1.09732  26.099515      43.466255    
35.500000 40.500000 0.500000 819.033386      1.82833  31.072125      43.988897    
40.500000 40.500000 0.500000 876.262207      2.02859  36.044734      44.511539    
45.500000 40.500000 0.500000 159.712204     -0.33517  41.017344      45.034182    
50.500000 40.500000 0.500000 155.172195     -0.35512  45.989953      45.556824    
55.500000 40.500000 0.500000 348.921112      0.44337  50.962562      46.079466    
60.500000 40.500000 0.500000 397.273285      0.61660  55.935172      46.602109    
65.500000 40.500000 0.500000 263.113312      0.14147  60.907781      47.124751    
70.500000 40.500000 0.500000 80.419998     -0.76798  65.880391      47.647393    
75.500000 40.500000 0.500000 0.000000     -1.73636  70.853000      48.170036    
80.500000 40.500000 0.500000 30.223301     -1.04181  75.825610      48.692678    
85.500000 40.500000 0.500000 183.453293     -0.22433  80.798219      49.215320    
90.500000 40.500000 0.500000 217.036697     -0.02820  85.770829      49.737963    
95.500000 40.500000 0.500000 9.561100     -1.39671  90.743438      50.260605    
0.500000 45.500000 0.500000 259.290009      0.12250 -4.2587841      45.303010    
5.500000 45.500000 0.500000 134.901093     -0.44337 0.71382538      45.825653    
10.500000 45.500000 0.500000 134.422195     -0.45029  5.6864349      46.348295    
15.500000 45.500000 0.500000 233.891098      0.03447  10.659044      46.870937    
20.500000 45.500000 0.500000 369.962189      0.51365  15.631654      47.393580    
25.500000 45.500000 0.500000 632.985596      1.28871  20.604263      47.916222    
30.500000 45.500000 0.500000 684.366577      1.46654  25.576873      48.438864    
35.500000 45.500000 0.500000 675.041077      1.43076  30.549482      48.961507    
40.500000 45.500000 0.500000 508.486694      0.92975  35.522092      49.484149    
45.500000 45.500000 0.500000 119.627800     -0.53522  40.494701      50.006791    
50.500000 45.500000 0.500000 323.596710      0.34845  45.467311      50.529434    
55.500000 45.500000 0.500000 274.037811      0.17319  50.439920      51.052076    
60.500000 45.500000 0.500000 352.788910      0.46421  55.412530      51.574718    
65.500000 45.500000 0.500000 328.128906      0.36180  60.385139      52.097361    
70.500000 45.500000 0.500000 142.736694     -0.39546  65.357749      52.620003    
75.500000 45.500000 0.500000 182.516693     -0.23076  70.330358      53.142645    
80.500000 45.500000 0.500000 202.179993     -0.12250  75.302968      53.665287    
85.500000 45.500000 0.500000 212.113297     -0.05329  80.275577      54.187930    
90.500000 45.500000 0.500000 107.779999     -0.59402  85.248186      54.710572    
95.500000 45.500000 0.500000 4.686700     -1.48517  90.220796      55.233214    
0.500000 50.500000 0.500000 199.323303     -0.14780 -4.7814264      50.275620    
5.500000 50.500000 0.500000 163.362198     -0.30877 0.19118307      50.798262    
10.500000 50.500000 0.500000 345.711090      0.42958  5.1637925      51.320905    
15.500000 50.500000 0.500000 385.123413      0.58656  10.136402      51.843547    
20.500000 50.500000 0.500000 911.576721      2.20435  15.109012      52.366189    
25.500000 50.500000 0.500000 1020.445618      2.49771  20.081621      52.888832    
30.500000 50.500000 0.500000 513.162170      0.93945  25.054230      53.411474    
35.500000 50.500000 0.500000 370.543304      0.52081  30.026840      53.934116    
40.500000 50.500000 0.500000 127.517799     -0.47821  34.999449      54.456758    
45.500000 50.500000 0.500000 56.545601     -0.91061  39.972059      54.979401    
50.500000 50.500000 0.500000 171.891098     -0.28911  44.944668      55.502043    
55.500000 50.500000 0.500000 311.005615      0.30220  49.917278      56.024685    
60.500000 50.500000 0.500000 203.493301     -0.11619  54.889887      56.547328    
65.500000 50.500000 0.500000 3.492200     -1.50432  59.862497      57.069970    
70.500000 50.500000 0.500000 409.715607      0.63950  64.835106      57.592612    
75.500000 50.500000 0.500000 410.417786      0.64720  69.807716      58.115255    
80.500000 50.500000 0.500000 615.811096      1.24672  74.780325      58.637897    
85.500000 50.500000 0.500000 381.309998      0.57174  79.752935      59.160539    
90.500000 50.500000 0.500000 29.941099     -1.06362  84.725544      59.683182    
95.500000 50.500000 0.500000 18.742201     -1.13232  89.698154      60.205824    
0.500000 55.500000 0.500000 431.478302      0.68634 -5.3040687      55.248229    
5.500000 55.500000 0.500000 199.285599     -0.15414 -.33145924      55.770872    
10.500000 55.500000 0.500000 313.907806      0.32194  4.6411502      56.293514    
15.500000 55.500000 0.500000 848.711121      1.93901  9.6137597      56.816156    
20.500000 55.500000 0.500000 1021.297913      2.67379  14.586369      57.338799    
25.500000 55.500000 0.500000 808.152222      1.79597  19.558979      57.861441    
30.500000 55.500000 0.500000 695.593323      1.48517  24.531588      58.384083    
35.500000 55.500000 0.500000 172.298904     -0.28258  29.504198      58.906726    
40.500000 55.500000 0.500000 39.516701     -0.99961  34.476807      59.429368    
45.500000 55.500000 0.500000 20.670000     -1.12050  39.449417      59.952010    
50.500000 55.500000 0.500000 16.385599     -1.18126  44.422026      60.474653    
55.500000 55.500000 0.500000 70.065598     -0.82830  49.394636      60.997295    
60.500000 55.500000 0.500000 293.609985      0.26956  54.367245      61.519937    
65.500000 55.500000 0.500000 180.929993     -0.24365  59.339854      62.042579    
70.500000 55.500000 0.500000 256.683289      0.10989  64.312464      62.565222    
75.500000 55.500000 0.500000 276.936615      0.19231  69.285073      63.087864    
80.500000 55.500000 0.500000 165.742203     -0.30220  74.257683      63.610506    
85.500000 55.500000 0.500000 120.544403     -0.52800  79.230292      64.133149    
90.500000 55.500000 0.500000 0.000000     -3.02334  84.202902      64.655791    
95.500000 55.500000 0.500000 251.179993      0.09099  89.175511      65.178433    
0.500000 60.500000 0.500000 364.876709      0.50651 -5.8267110      60.220839    
5.500000 60.500000 0.500000 130.824493     -0.46421 -.85410155      60.743481    
10.500000 60.500000 0.500000 220.403305     -0.00313  4.1185079      61.266124    
15.500000 60.500000 0.500000 904.667725      2.08028  9.0911174      61.788766    
20.500000 60.500000 0.500000 780.570007      1.68236  14.063727      62.311408    
25.500000 60.500000 0.500000 732.206726      1.56535  19.036336      62.834050    
30.500000 60.500000 0.500000 206.515594     -0.09099  24.008946      63.356693    
35.500000 60.500000 0.500000 9.820000     -1.34849  28.981555      63.879335    
40.500000 60.500000 0.500000 9.652200     -1.38028  33.954165      64.401977    
45.500000 60.500000 0.500000 0.623300     -1.63285  38.926774      64.924620    
