With Rotated Coordinates: Normal Score Transform: pygeostat_saved_data
 7
X
Y
Z
value
NS_value
Rotated X
Rotated Y
0.500000 0.500000 0.500000 0.000000     -2.67379 0.57922796     0.40557979    
5.500000 0.500000 0.500000 0.000000     -2.37603  5.5032667     -.46266109    
10.500000 0.500000 0.500000 204.054993     -0.10989  10.427305     -1.3309020    
15.500000 0.500000 0.500000 157.588303     -0.34180  15.351344     -2.1991429    
20.500000 0.500000 0.500000 210.154999     -0.06585  20.275383     -3.0673837    
25.500000 0.500000 0.500000 386.173309      0.59402  25.199422     -3.9356246    
30.500000 0.500000 0.500000 422.756592      0.66274  30.123461     -4.8038655    
35.500000 0.500000 0.500000 541.809998      0.99961  35.047499     -5.6721064    
40.500000 0.500000 0.500000 576.163330      1.15644  39.971538     -6.5403473    
45.500000 0.500000 0.500000 549.518372      1.04181  44.895577     -7.4085881    
50.500000 0.500000 0.500000 200.958298     -0.13514  49.819616     -8.2768290    
55.500000 0.500000 0.500000 375.029907      0.54246  54.743654     -9.1450699    
60.500000 0.500000 0.500000 320.968292      0.34180  59.667693     -10.013311    
65.500000 0.500000 0.500000 374.281708      0.53522  64.591732     -10.881552    
70.500000 0.500000 0.500000 270.466705      0.16048  69.515771     -11.749793    
75.500000 0.500000 0.500000 14.636700     -1.21991  74.439809     -12.618033    
80.500000 0.500000 0.500000 138.963303     -0.41588  79.363848     -13.486274    
85.500000 0.500000 0.500000 330.253296      0.37522  84.287887     -14.354515    
90.500000 0.500000 0.500000 363.000000      0.49940  89.211926     -15.222756    
95.500000 0.500000 0.500000 122.781700     -0.51365  94.135965     -16.090997    
0.500000 5.500000 0.500000 0.000000     -1.89949  1.4474688      5.3296186    
5.500000 5.500000 0.500000 11.474400     -1.27446  6.3715076      4.4613777    
10.500000 5.500000 0.500000 43.175598     -0.94924  11.295546      3.5931368    
15.500000 5.500000 0.500000 107.290001     -0.60904  16.219585      2.7248959    
20.500000 5.500000 0.500000 281.265503      0.21150  21.143624      1.8566550    
25.500000 5.500000 0.500000 313.061096      0.30877  26.067663     0.98841415    
30.500000 5.500000 0.500000 424.531097      0.67056  30.991701     0.12017326    
35.500000 5.500000 0.500000 253.062195      0.10358  35.915740     -.74806762    
40.500000 5.500000 0.500000 407.880005      0.63183  40.839779     -1.6163085    
45.500000 5.500000 0.500000 222.167801      0.00313  45.763818     -2.4845494    
50.500000 5.500000 0.500000 283.696686      0.24365  50.687857     -3.3527903    
55.500000 5.500000 0.500000 216.302200     -0.03447  55.611895     -4.2210311    
60.500000 5.500000 0.500000 261.458893      0.12882  60.535934     -5.0892720    
65.500000 5.500000 0.500000 235.391098      0.04702  65.459973     -5.9575129    
70.500000 5.500000 0.500000 474.660004      0.81950  70.384012     -6.8257538    
75.500000 5.500000 0.500000 277.003296      0.19870  75.308050     -7.6939947    
80.500000 5.500000 0.500000 428.578888      0.67843  80.232089     -8.5622356    
85.500000 5.500000 0.500000 772.396606      1.65710  85.156128     -9.4304764    
90.500000 5.500000 0.500000 503.337799      0.90117  90.080167     -10.298717    
95.500000 5.500000 0.500000 177.917801     -0.26307  95.004205     -11.166958    
0.500000 10.500000 0.500000 66.873299     -0.84609  2.3157097      10.253657    
5.500000 10.500000 0.500000 66.746696     -0.86416  7.2397485      9.3854164    
10.500000 10.500000 0.500000 77.235603     -0.78492  12.163787      8.5171756    
15.500000 10.500000 0.500000 94.454399     -0.69429  17.087826      7.6489347    
20.500000 10.500000 0.500000 51.272202     -0.92975  22.011865      6.7806938    
25.500000 10.500000 0.500000 234.729996      0.04074  26.935904      5.9124529    
30.500000 10.500000 0.500000 528.935608      0.95912  31.859942      5.0442120    
35.500000 10.500000 0.500000 482.937805      0.85509  36.783981      4.1759711    
40.500000 10.500000 0.500000 505.185486      0.92014  41.708020      3.3077303    
45.500000 10.500000 0.500000 65.401100     -0.89180  46.632059      2.4394894    
50.500000 10.500000 0.500000 73.295601     -0.79348  51.556097      1.5712485    
55.500000 10.500000 0.500000 219.704498     -0.00940  56.480136     0.70300762    
60.500000 10.500000 0.500000 225.733307      0.01567  61.404175     -.16523326    
65.500000 10.500000 0.500000 182.372192     -0.23720  66.328214     -1.0334741    
70.500000 10.500000 0.500000 390.133301      0.60151  71.252252     -1.9017150    
75.500000 10.500000 0.500000 93.995598     -0.70229  76.176291     -2.7699559    
80.500000 10.500000 0.500000 445.234497      0.74297  81.100330     -3.6381968    
85.500000 10.500000 0.500000 377.331085      0.54974  86.024369     -4.5064377    
90.500000 10.500000 0.500000 231.436707      0.02820  90.948408     -5.3746785    
95.500000 10.500000 0.500000 104.372200     -0.63183  95.872446     -6.2429194    
0.500000 15.500000 0.500000 541.830017      1.00999  3.1839506      15.177696    
5.500000 15.500000 0.500000 172.673294     -0.27606  8.1079894      14.309455    
10.500000 15.500000 0.500000 87.331100     -0.72655  13.032028      13.441214    
15.500000 15.500000 0.500000 186.407806     -0.21150  17.956067      12.572973    
20.500000 15.500000 0.500000 118.986702     -0.54246  22.880106      11.704733    
25.500000 15.500000 0.500000 208.202194     -0.07841  27.804144      10.836492    
30.500000 15.500000 0.500000 676.192322      1.44842  32.728183      9.9682508    
35.500000 15.500000 0.500000 554.272217      1.06362  37.652222      9.1000099    
40.500000 15.500000 0.500000 558.902222      1.10884  42.576261      8.2317690    
45.500000 15.500000 0.500000 272.997803      0.16683  47.500300      7.3635282    
50.500000 15.500000 0.500000 81.733299     -0.75959  52.424338      6.4952873    
55.500000 15.500000 0.500000 313.634399      0.31534  57.348377      5.6270464    
60.500000 15.500000 0.500000 145.955597     -0.38195  62.272416      4.7588055    
65.500000 15.500000 0.500000 191.756699     -0.17956  67.196455      3.8905646    
70.500000 15.500000 0.500000 113.223297     -0.56437  72.120493      3.0223237    
75.500000 15.500000 0.500000 87.401100     -0.71842  77.044532      2.1540829    
80.500000 15.500000 0.500000 191.653305     -0.19231  81.968571      1.2858420    
85.500000 15.500000 0.500000 343.973389      0.40905  86.892610     0.41760110    
90.500000 15.500000 0.500000 90.415604     -0.71033  91.816648     -.45063978    
95.500000 15.500000 0.500000 341.132202      0.40225  96.740687     -1.3188807    
0.500000 20.500000 0.500000 633.525024      1.30322  4.0521915      20.101735    
5.500000 20.500000 0.500000 667.548889      1.39671  8.9762303      19.233494    
10.500000 20.500000 0.500000 482.946686      0.86416  13.900269      18.365253    
15.500000 20.500000 0.500000 770.286682      1.63285  18.824308      17.497012    
20.500000 20.500000 0.500000 294.677795      0.28911  23.748347      16.628771    
25.500000 20.500000 0.500000 305.768890      0.29565  28.672385      15.760530    
30.500000 20.500000 0.500000 479.667786      0.84609  33.596424      14.892290    
35.500000 20.500000 0.500000 605.803284      1.23320  38.520463      14.024049    
40.500000 20.500000 0.500000 218.581100     -0.02193  43.444502      13.155808    
45.500000 20.500000 0.500000 443.858887      0.73474  48.368540      12.287567    
50.500000 20.500000 0.500000 224.752197      0.00940  53.292579      11.419326    
55.500000 20.500000 0.500000 357.417786      0.47821  58.216618      10.551085    
60.500000 20.500000 0.500000 329.866608      0.36850  63.140657      9.6828443    
65.500000 20.500000 0.500000 0.000000     -1.93901  68.064695      8.8146034    
70.500000 20.500000 0.500000 9.778900     -1.36421  72.988734      7.9463625    
75.500000 20.500000 0.500000 252.237793      0.09729  77.912773      7.0781216    
80.500000 20.500000 0.500000 459.354401      0.75959  82.836812      6.2098807    
85.500000 20.500000 0.500000 150.772202     -0.37522  87.760851      5.3416399    
90.500000 20.500000 0.500000 277.854401      0.20509  92.684889      4.4733990    
95.500000 20.500000 0.500000 358.205505      0.48525  97.608928      3.6051581    
0.500000 25.500000 0.500000 943.635010      2.37603  4.9204324      25.025774    
5.500000 25.500000 0.500000 804.471130      1.76538  9.8444711      24.157533    
10.500000 25.500000 0.500000 659.869995      1.36421  14.768510      23.289292    
15.500000 25.500000 0.500000 556.913330      1.08595  19.692549      22.421051    
20.500000 25.500000 0.500000 346.709991      0.43646  24.616587      21.552810    
25.500000 25.500000 0.500000 80.099998     -0.77642  29.540626      20.684569    
30.500000 25.500000 0.500000 499.897797      0.89180  34.464665      19.816328    
35.500000 25.500000 0.500000 720.216675      1.52403  39.388704      18.948087    
40.500000 25.500000 0.500000 350.205505      0.45724  44.312743      18.079847    
45.500000 25.500000 0.500000 530.035522      0.97916  49.236781      17.211606    
50.500000 25.500000 0.500000 468.263306      0.78492  54.160820      16.343365    
55.500000 25.500000 0.500000 440.191101      0.71033  59.084859      15.475124    
60.500000 25.500000 0.500000 281.331085      0.21791  64.008898      14.606883    
65.500000 25.500000 0.500000 104.641098     -0.62419  68.932936      13.738642    
70.500000 25.500000 0.500000 14.106700     -1.23320  73.856975      12.870401    
75.500000 25.500000 0.500000 144.353302     -0.38870  78.781014      12.002160    
80.500000 25.500000 0.500000 197.258896     -0.16048  83.705053      11.133920    
85.500000 25.500000 0.500000 136.416702     -0.42958  88.629091      10.265679    
90.500000 25.500000 0.500000 152.614395     -0.36180  93.553130      9.3974377    
95.500000 25.500000 0.500000 152.516693     -0.36850  98.477169      8.5291969    
0.500000 30.500000 0.500000 320.226715      0.33517  5.7886733      29.949812    
5.500000 30.500000 0.500000 781.194519      1.70874  10.712712      29.081572    
10.500000 30.500000 0.500000 594.945618      1.20682  15.636751      28.213331    
15.500000 30.500000 0.500000 546.493408      1.03109  20.560790      27.345090    
20.500000 30.500000 0.500000 647.992188      1.33310  25.484828      26.476849    
25.500000 30.500000 0.500000 0.000000     -2.49771  30.408867      25.608608    
30.500000 30.500000 0.500000 570.921082      1.14430  35.332906      24.740367    
35.500000 30.500000 0.500000 943.423279      2.28182  40.256945      23.872126    
40.500000 30.500000 0.500000 569.085571      1.12050  45.180983      23.003885    
45.500000 30.500000 0.500000 108.952202     -0.58656  50.105022      22.135644    
50.500000 30.500000 0.500000 377.399994      0.55704  55.029061      21.267404    
55.500000 30.500000 0.500000 184.411102     -0.21791  59.953100      20.399163    
60.500000 30.500000 0.500000 626.222290      1.26047  64.877138      19.530922    
65.500000 30.500000 0.500000 528.228882      0.94924  69.801177      18.662681    
70.500000 30.500000 0.500000 696.080017      1.50432  74.725216      17.794440    
75.500000 30.500000 0.500000 438.438812      0.70229  79.649255      16.926199    
80.500000 30.500000 0.500000 825.535522      1.89949  84.573294      16.057958    
85.500000 30.500000 0.500000 195.571106     -0.17319  89.497332      15.189717    
90.500000 30.500000 0.500000 0.000000     -2.02859  94.421371      14.321477    
95.500000 30.500000 0.500000 0.000000     -2.08028  99.345410      13.453236    
0.500000 35.500000 0.500000 662.445007      1.38028  6.6569141      34.873851    
5.500000 35.500000 0.500000 338.700012      0.38870  11.580953      34.005610    
10.500000 35.500000 0.500000 496.092194      0.88251  16.504992      33.137369    
15.500000 35.500000 0.500000 445.892212      0.75125  21.429030      32.269129    
