With Rotated Coordinates: Normal Score Transform: pygeostat_saved_data
 7
X
Y
Z
value
NS_value
Rotated X
Rotated Y
0.500000 0.500000 0.500000 0.000000     -2.67379 0.51714516     0.48224567    
5.500000 0.500000 0.500000 0.000000     -2.37603  5.5140993     0.30774818    
10.500000 0.500000 0.500000 204.054993     -0.10989  10.511053     0.13325070    
15.500000 0.500000 0.500000 157.588303     -0.34180  15.508008     -.41246781E-01
20.500000 0.500000 0.500000 210.154999     -0.06585  20.504962     -.21574426    
25.500000 0.500000 0.500000 386.173309      0.59402  25.501916     -.39024175    
30.500000 0.500000 0.500000 422.756592      0.66274  30.498870     -.56473923    
35.500000 0.500000 0.500000 541.809998      0.99961  35.495824     -.73923671    
40.500000 0.500000 0.500000 576.163330      1.15644  40.492778     -.91373419    
45.500000 0.500000 0.500000 549.518372      1.04181  45.489732     -1.0882317    
50.500000 0.500000 0.500000 200.958298     -0.13514  50.486687     -1.2627292    
55.500000 0.500000 0.500000 375.029907      0.54246  55.483641     -1.4372266    
60.500000 0.500000 0.500000 320.968292      0.34180  60.480595     -1.6117241    
65.500000 0.500000 0.500000 374.281708      0.53522  65.477549     -1.7862216    
70.500000 0.500000 0.500000 270.466705      0.16048  70.474503     -1.9607191    
75.500000 0.500000 0.500000 14.636700     -1.21991  75.471457     -2.1352166    
80.500000 0.500000 0.500000 138.963303     -0.41588  80.468411     -2.3097140    
85.500000 0.500000 0.500000 330.253296      0.37522  85.465365     -2.4842115    
90.500000 0.500000 0.500000 363.000000      0.49940  90.462320     -2.6587090    
95.500000 0.500000 0.500000 122.781700     -0.51365  95.459274     -2.8332065    
0.500000 5.500000 0.500000 0.000000     -1.89949 0.69164264      5.4791998    
5.500000 5.500000 0.500000 11.474400     -1.27446  5.6885968      5.3047023    
10.500000 5.500000 0.500000 43.175598     -0.94924  10.685551      5.1302048    
15.500000 5.500000 0.500000 107.290001     -0.60904  15.682505      4.9557074    
20.500000 5.500000 0.500000 281.265503      0.21150  20.679459      4.7812099    
25.500000 5.500000 0.500000 313.061096      0.30877  25.676413      4.6067124    
30.500000 5.500000 0.500000 424.531097      0.67056  30.673367      4.4322149    
35.500000 5.500000 0.500000 253.062195      0.10358  35.670322      4.2577174    
40.500000 5.500000 0.500000 407.880005      0.63183  40.667276      4.0832199    
45.500000 5.500000 0.500000 222.167801      0.00313  45.664230      3.9087225    
50.500000 5.500000 0.500000 283.696686      0.24365  50.661184      3.7342250    
55.500000 5.500000 0.500000 216.302200     -0.03447  55.658138      3.5597275    
60.500000 5.500000 0.500000 261.458893      0.12882  60.655092      3.3852300    
65.500000 5.500000 0.500000 235.391098      0.04702  65.652046      3.2107325    
70.500000 5.500000 0.500000 474.660004      0.81950  70.649001      3.0362351    
75.500000 5.500000 0.500000 277.003296      0.19870  75.645955      2.8617376    
80.500000 5.500000 0.500000 428.578888      0.67843  80.642909      2.6872401    
85.500000 5.500000 0.500000 772.396606      1.65710  85.639863      2.5127426    
90.500000 5.500000 0.500000 503.337799      0.90117  90.636817      2.3382451    
95.500000 5.500000 0.500000 177.917801     -0.26307  95.633771      2.1637476    
0.500000 10.500000 0.500000 66.873299     -0.84609 0.86614013      10.476154    
5.500000 10.500000 0.500000 66.746696     -0.86416  5.8630943      10.301656    
10.500000 10.500000 0.500000 77.235603     -0.78492  10.860048      10.127159    
15.500000 10.500000 0.500000 94.454399     -0.69429  15.857003      9.9526615    
20.500000 10.500000 0.500000 51.272202     -0.92975  20.853957      9.7781640    
25.500000 10.500000 0.500000 234.729996      0.04074  25.850911      9.6036665    
30.500000 10.500000 0.500000 528.935608      0.95912  30.847865      9.4291690    
35.500000 10.500000 0.500000 482.937805      0.85509  35.844819      9.2546716    
40.500000 10.500000 0.500000 505.185486      0.92014  40.841773      9.0801741    
45.500000 10.500000 0.500000 65.401100     -0.89180  45.838727      8.9056766    
50.500000 10.500000 0.500000 73.295601     -0.79348  50.835681      8.7311791    
55.500000 10.500000 0.500000 219.704498     -0.00940  55.832636      8.5566816    
60.500000 10.500000 0.500000 225.733307      0.01567  60.829590      8.3821841    
65.500000 10.500000 0.500000 182.372192     -0.23720  65.826544      8.2076867    
70.500000 10.500000 0.500000 390.133301      0.60151  70.823498      8.0331892    
75.500000 10.500000 0.500000 93.995598     -0.70229  75.820452      7.8586917    
80.500000 10.500000 0.500000 445.234497      0.74297  80.817406      7.6841942    
85.500000 10.500000 0.500000 377.331085      0.54974  85.814360      7.5096967    
90.500000 10.500000 0.500000 231.436707      0.02820  90.811315      7.3351993    
95.500000 10.500000 0.500000 104.372200     -0.63183  95.808269      7.1607018    
0.500000 15.500000 0.500000 541.830017      1.00999  1.0406376      15.473108    
5.500000 15.500000 0.500000 172.673294     -0.27606  6.0375917      15.298611    
10.500000 15.500000 0.500000 87.331100     -0.72655  11.034546      15.124113    
15.500000 15.500000 0.500000 186.407806     -0.21150  16.031500      14.949616    
20.500000 15.500000 0.500000 118.986702     -0.54246  21.028454      14.775118    
25.500000 15.500000 0.500000 208.202194     -0.07841  26.025408      14.600621    
30.500000 15.500000 0.500000 676.192322      1.44842  31.022362      14.426123    
35.500000 15.500000 0.500000 554.272217      1.06362  36.019317      14.251626    
40.500000 15.500000 0.500000 558.902222      1.10884  41.016271      14.077128    
45.500000 15.500000 0.500000 272.997803      0.16683  46.013225      13.902631    
50.500000 15.500000 0.500000 81.733299     -0.75959  51.010179      13.728133    
55.500000 15.500000 0.500000 313.634399      0.31534  56.007133      13.553636    
60.500000 15.500000 0.500000 145.955597     -0.38195  61.004087      13.379138    
65.500000 15.500000 0.500000 191.756699     -0.17956  66.001041      13.204641    
70.500000 15.500000 0.500000 113.223297     -0.56437  70.997996      13.030143    
75.500000 15.500000 0.500000 87.401100     -0.71842  75.994950      12.855646    
80.500000 15.500000 0.500000 191.653305     -0.19231  80.991904      12.681148    
85.500000 15.500000 0.500000 343.973389      0.40905  85.988858      12.506651    
90.500000 15.500000 0.500000 90.415604     -0.71033  90.985812      12.332153    
95.500000 15.500000 0.500000 341.132202      0.40225  95.982766      12.157656    
0.500000 20.500000 0.500000 633.525024      1.30322  1.2151351      20.470062    
5.500000 20.500000 0.500000 667.548889      1.39671  6.2120892      20.295565    
10.500000 20.500000 0.500000 482.946686      0.86416  11.209043      20.121067    
15.500000 20.500000 0.500000 770.286682      1.63285  16.205997      19.946570    
20.500000 20.500000 0.500000 294.677795      0.28911  21.202952      19.772072    
25.500000 20.500000 0.500000 305.768890      0.29565  26.199906      19.597575    
30.500000 20.500000 0.500000 479.667786      0.84609  31.196860      19.423077    
35.500000 20.500000 0.500000 605.803284      1.23320  36.193814      19.248580    
40.500000 20.500000 0.500000 218.581100     -0.02193  41.190768      19.074082    
45.500000 20.500000 0.500000 443.858887      0.73474  46.187722      18.899585    
50.500000 20.500000 0.500000 224.752197      0.00940  51.184676      18.725087    
55.500000 20.500000 0.500000 357.417786      0.47821  56.181631      18.550590    
60.500000 20.500000 0.500000 329.866608      0.36850  61.178585      18.376092    
65.500000 20.500000 0.500000 0.000000     -1.93901  66.175539      18.201595    
70.500000 20.500000 0.500000 9.778900     -1.36421  71.172493      18.027097    
75.500000 20.500000 0.500000 252.237793      0.09729  76.169447      17.852600    
80.500000 20.500000 0.500000 459.354401      0.75959  81.166401      17.678102    
85.500000 20.500000 0.500000 150.772202     -0.37522  86.163355      17.503605    
90.500000 20.500000 0.500000 277.854401      0.20509  91.160310      17.329108    
95.500000 20.500000 0.500000 358.205505      0.48525  96.157264      17.154610    
0.500000 25.500000 0.500000 943.635010      2.37603  1.3896326      25.467016    
5.500000 25.500000 0.500000 804.471130      1.76538  6.3865867      25.292519    
10.500000 25.500000 0.500000 659.869995      1.36421  11.383541      25.118021    
15.500000 25.500000 0.500000 556.913330      1.08595  16.380495      24.943524    
20.500000 25.500000 0.500000 346.709991      0.43646  21.377449      24.769026    
25.500000 25.500000 0.500000 80.099998     -0.77642  26.374403      24.594529    
30.500000 25.500000 0.500000 499.897797      0.89180  31.371357      24.420031    
35.500000 25.500000 0.500000 720.216675      1.52403  36.368312      24.245534    
40.500000 25.500000 0.500000 350.205505      0.45724  41.365266      24.071036    
45.500000 25.500000 0.500000 530.035522      0.97916  46.362220      23.896539    
50.500000 25.500000 0.500000 468.263306      0.78492  51.359174      23.722042    
55.500000 25.500000 0.500000 440.191101      0.71033  56.356128      23.547544    
60.500000 25.500000 0.500000 281.331085      0.21791  61.353082      23.373047    
65.500000 25.500000 0.500000 104.641098     -0.62419  66.350036      23.198549    
70.500000 25.500000 0.500000 14.106700     -1.23320  71.346990      23.024052    
75.500000 25.500000 0.500000 144.353302     -0.38870  76.343945      22.849554    
80.500000 25.500000 0.500000 197.258896     -0.16048  81.340899      22.675057    
85.500000 25.500000 0.500000 136.416702     -0.42958  86.337853      22.500559    
90.500000 25.500000 0.500000 152.614395     -0.36180  91.334807      22.326062    
95.500000 25.500000 0.500000 152.516693     -0.36850  96.331761      22.151564    
0.500000 30.500000 0.500000 320.226715      0.33517  1.5641301      30.463970    
5.500000 30.500000 0.500000 781.194519      1.70874  6.5610842      30.289473    
10.500000 30.500000 0.500000 594.945618      1.20682  11.558038      30.114976    
15.500000 30.500000 0.500000 546.493408      1.03109  16.554992      29.940478    
20.500000 30.500000 0.500000 647.992188      1.33310  21.551947      29.765981    
25.500000 30.500000 0.500000 0.000000     -2.49771  26.548901      29.591483    
30.500000 30.500000 0.500000 570.921082      1.14430  31.545855      29.416986    
35.500000 30.500000 0.500000 943.423279      2.28182  36.542809      29.242488    
40.500000 30.500000 0.500000 569.085571      1.12050  41.539763      29.067991    
45.500000 30.500000 0.500000 108.952202     -0.58656  46.536717      28.893493    
50.500000 30.500000 0.500000 377.399994      0.55704  51.533671      28.718996    
55.500000 30.500000 0.500000 184.411102     -0.21791  56.530626      28.544498    
60.500000 30.500000 0.500000 626.222290      1.26047  61.527580      28.370001    
65.500000 30.500000 0.500000 528.228882      0.94924  66.524534      28.195503    
70.500000 30.500000 0.500000 696.080017      1.50432  71.521488      28.021006    
75.500000 30.500000 0.500000 438.438812      0.70229  76.518442      27.846508    
80.500000 30.500000 0.500000 825.535522      1.89949  81.515396      27.672011    
85.500000 30.500000 0.500000 195.571106     -0.17319  86.512350      27.497513    
90.500000 30.500000 0.500000 0.000000     -2.02859  91.509304      27.323016    
95.500000 30.500000 0.500000 0.000000     -2.08028  96.506259      27.148518    
0.500000 35.500000 0.500000 662.445007      1.38028  1.7386275      35.460925    
5.500000 35.500000 0.500000 338.700012      0.38870  6.7355817      35.286427    
10.500000 35.500000 0.500000 496.092194      0.88251  11.732536      35.111930    
15.500000 35.500000 0.500000 445.892212      0.75125  16.729490      34.937432    
20.500000 35.500000 0.500000 490.066711      0.87330  21.726444      34.762935    
25.500000 35.500000 0.500000 469.837708      0.79348  26.723398      34.588437    
30.500000 35.500000 0.500000 820.145630      1.86273  31.720352      34.413940    
35.500000 35.500000 0.500000 721.133423      1.54436  36.717306      34.239442    
40.500000 35.500000 0.500000 419.187805      0.65495  41.714261      34.064945    
45.500000 35.500000 0.500000 96.012199     -0.67843  46.711215      33.890447    
50.500000 35.500000 0.500000 135.607803     -0.43646  51.708169      33.715950    
55.500000 35.500000 0.500000 157.479996     -0.34845  56.705123      33.541452    
60.500000 35.500000 0.500000 282.026703      0.23076  61.702077      33.366955    
65.500000 35.500000 0.500000 628.464417      1.27446  66.699031      33.192457    
70.500000 35.500000 0.500000 380.188812      0.56437  71.695985      33.017960    
75.500000 35.500000 0.500000 504.958893      0.91061  76.692940      32.843462    
80.500000 35.500000 0.500000 745.307678      1.58706  81.689894      32.668965    
85.500000 35.500000 0.500000 674.889893      1.41353  86.686848      32.494467    
90.500000 35.500000 0.500000 191.685593     -0.18593  91.683802      32.319970    
95.500000 35.500000 0.500000 24.378901     -1.10884  96.680756      32.145472    
0.500000 40.500000 0.500000 283.859985      0.25011  1.9131250      40.457879    
5.500000 40.500000 0.500000 267.544403      0.14780  6.9100792      40.283381    
10.500000 40.500000 0.500000 124.724503     -0.49231  11.907033      40.108884    
15.500000 40.500000 0.500000 126.336700     -0.48525  16.903987      39.934386    
20.500000 40.500000 0.500000 204.091095     -0.10358  21.900942      39.759889    
25.500000 40.500000 0.500000 293.524506      0.26307  26.897896      39.585391    
30.500000 40.500000 0.500000 557.384521      1.09732  31.894850      39.410894    
35.500000 40.500000 0.500000 819.033386      1.82833  36.891804      39.236396    
40.500000 40.500000 0.500000 876.262207      2.02859  41.888758      39.061899    
45.500000 40.500000 0.500000 159.712204     -0.33517  46.885712      38.887401    
50.500000 40.500000 0.500000 155.172195     -0.35512  51.882666      38.712904    
55.500000 40.500000 0.500000 348.921112      0.44337  56.879621      38.538406    
60.500000 40.500000 0.500000 397.273285      0.61660  61.876575      38.363909    
65.500000 40.500000 0.500000 263.113312      0.14147  66.873529      38.189411    
70.500000 40.500000 0.500000 80.419998     -0.76798  71.870483      38.014914    
75.500000 40.500000 0.500000 0.000000     -1.73636  76.867437      37.840417    
80.500000 40.500000 0.500000 30.223301     -1.04181  81.864391      37.665919    
85.500000 40.500000 0.500000 183.453293     -0.22433  86.861345      37.491422    
90.500000 40.500000 0.500000 217.036697     -0.02820  91.858299      37.316924    
95.500000 40.500000 0.500000 9.561100     -1.39671  96.855254      37.142427    
0.500000 45.500000 0.500000 259.290009      0.12250  2.0876225      45.454833    
5.500000 45.500000 0.500000 134.901093     -0.44337  7.0845766      45.280335    
10.500000 45.500000 0.500000 134.422195     -0.45029  12.081531      45.105838    
15.500000 45.500000 0.500000 233.891098      0.03447  17.078485      44.931340    
20.500000 45.500000 0.500000 369.962189      0.51365  22.075439      44.756843    
25.500000 45.500000 0.500000 632.985596      1.28871  27.072393      44.582345    
30.500000 45.500000 0.500000 684.366577      1.46654  32.069347      44.407848    
35.500000 45.500000 0.500000 675.041077      1.43076  37.066301      44.233351    
40.500000 45.500000 0.500000 508.486694      0.92975  42.063256      44.058853    
45.500000 45.500000 0.500000 119.627800     -0.53522  47.060210      43.884356    
50.500000 45.500000 0.500000 323.596710      0.34845  52.057164      43.709858    
55.500000 45.500000 0.500000 274.037811      0.17319  57.054118      43.535361    
60.500000 45.500000 0.500000 352.788910      0.46421  62.051072      43.360863    
65.500000 45.500000 0.500000 328.128906      0.36180  67.048026      43.186366    
70.500000 45.500000 0.500000 142.736694     -0.39546  72.044980      43.011868    
75.500000 45.500000 0.500000 182.516693     -0.23076  77.041935      42.837371    
80.500000 45.500000 0.500000 202.179993     -0.12250  82.038889      42.662873    
85.500000 45.500000 0.500000 212.113297     -0.05329  87.035843      42.488376    
90.500000 45.500000 0.500000 107.779999     -0.59402  92.032797      42.313878    
95.500000 45.500000 0.500000 4.686700     -1.48517  97.029751      42.139381    
0.500000 50.500000 0.500000 199.323303     -0.14780  2.2621200      50.451787    
5.500000 50.500000 0.500000 163.362198     -0.30877  7.2590741      50.277290    
10.500000 50.500000 0.500000 345.711090      0.42958  12.256028      50.102792    
15.500000 50.500000 0.500000 385.123413      0.58656  17.252982      49.928295    
20.500000 50.500000 0.500000 911.576721      2.20435  22.249937      49.753797    
25.500000 50.500000 0.500000 1020.445618      2.49771  27.246891      49.579300    
30.500000 50.500000 0.500000 513.162170      0.93945  32.243845      49.404802    
35.500000 50.500000 0.500000 370.543304      0.52081  37.240799      49.230305    
40.500000 50.500000 0.500000 127.517799     -0.47821  42.237753      49.055807    
45.500000 50.500000 0.500000 56.545601     -0.91061  47.234707      48.881310    
50.500000 50.500000 0.500000 171.891098     -0.28911  52.231661      48.706812    
55.500000 50.500000 0.500000 311.005615      0.30220  57.228615      48.532315    
60.500000 50.500000 0.500000 203.493301     -0.11619  62.225570      48.357817    
65.500000 50.500000 0.500000 3.492200     -1.50432  67.222524      48.183320    
70.500000 50.500000 0.500000 409.715607      0.63950  72.219478      48.008822    
75.500000 50.500000 0.500000 410.417786      0.64720  77.216432      47.834325    
80.500000 50.500000 0.500000 615.811096      1.24672  82.213386      47.659827    
85.500000 50.500000 0.500000 381.309998      0.57174  87.210340      47.485330    
90.500000 50.500000 0.500000 29.941099     -1.06362  92.207294      47.310832    
95.500000 50.500000 0.500000 18.742201     -1.13232  97.204249      47.136335    
0.500000 55.500000 0.500000 431.478302      0.68634  2.4366175      55.448741    
5.500000 55.500000 0.500000 199.285599     -0.15414  7.4335716      55.274244    
10.500000 55.500000 0.500000 313.907806      0.32194  12.430526      55.099746    
15.500000 55.500000 0.500000 848.711121      1.93901  17.427480      54.925249    
20.500000 55.500000 0.500000 1021.297913      2.67379  22.424434      54.750751    
25.500000 55.500000 0.500000 808.152222      1.79597  27.421388      54.576254    
30.500000 55.500000 0.500000 695.593323      1.48517  32.418342      54.401756    
35.500000 55.500000 0.500000 172.298904     -0.28258  37.415296      54.227259    
40.500000 55.500000 0.500000 39.516701     -0.99961  42.412251      54.052761    
45.500000 55.500000 0.500000 20.670000     -1.12050  47.409205      53.878264    
50.500000 55.500000 0.500000 16.385599     -1.18126  52.406159      53.703766    
55.500000 55.500000 0.500000 70.065598     -0.82830  57.403113      53.529269    
60.500000 55.500000 0.500000 293.609985      0.26956  62.400067      53.354771    
65.500000 55.500000 0.500000 180.929993     -0.24365  67.397021      53.180274    
70.500000 55.500000 0.500000 256.683289      0.10989  72.393975      53.005776    
75.500000 55.500000 0.500000 276.936615      0.19231  77.390929      52.831279    
80.500000 55.500000 0.500000 165.742203     -0.30220  82.387884      52.656781    
85.500000 55.500000 0.500000 120.544403     -0.52800  87.384838      52.482284    
90.500000 55.500000 0.500000 0.000000     -3.02334  92.381792      52.307786    
95.500000 55.500000 0.500000 251.179993      0.09099  97.378746      52.133289    
0.500000 60.500000 0.500000 364.876709      0.50651  2.6111149      60.445695    
5.500000 60.500000 0.500000 130.824493     -0.46421  7.6080691      60.271198    
10.500000 60.500000 0.500000 220.403305     -0.00313  12.605023      60.096700    
15.500000 60.500000 0.500000 904.667725      2.08028  17.601977      59.922203    
20.500000 60.500000 0.500000 780.570007      1.68236  22.598931      59.747705    
25.500000 60.500000 0.500000 732.206726      1.56535  27.595886      59.573208    
30.500000 60.500000 0.500000 206.515594     -0.09099  32.592840      59.398710    
35.500000 60.500000 0.500000 9.820000     -1.34849  37.589794      59.224213    
40.500000 60.500000 0.500000 9.652200     -1.38028  42.586748      59.049715    
45.500000 60.500000 0.500000 0.623300     -1.63285  47.583702      58.875218    
50.500000 60.500000 0.500000 33.473301     -1.02048  52.580656      58.700720    
55.500000 60.500000 0.500000 99.806702     -0.65495  57.577610      58.526223    
60.500000 60.500000 0.500000 107.618896     -0.60151  62.574565      58.351726    
65.500000 60.500000 0.500000 16.951099     -1.15644  67.571519      58.177228    
70.500000 60.500000 0.500000 30.120001     -1.05265  72.568473      58.002731    
75.500000 60.500000 0.500000 27.398899     -1.09732  77.565427      57.828233    
80.500000 60.500000 0.500000 16.741100     -1.16876  82.562381      57.653736    
85.500000 60.500000 0.500000 12.490000     -1.24672  87.559335      57.479238    
90.500000 60.500000 0.500000 67.355598     -0.83716  92.556289      57.304741    
95.500000 60.500000 0.500000 552.625488      1.05265  97.553244      57.130243    
0.500000 65.500000 0.500000 62.631699     -0.90117  2.7856124      65.442649    
5.500000 65.500000 0.500000 210.228897     -0.05957  7.7825666      65.268152    
10.500000 65.500000 0.500000 162.449997     -0.31534  12.779521      65.093654    
15.500000 65.500000 0.500000 799.637817      1.73636  17.776475      64.919157    
20.500000 65.500000 0.500000 1165.308838      3.02334  22.773429      64.744659    
25.500000 65.500000 0.500000 770.022217      1.60953  27.770383      64.570162    
30.500000 65.500000 0.500000 66.467796     -0.87330  32.767337      64.395665    
35.500000 65.500000 0.500000 2.067800     -1.56535  37.764291      64.221167    
40.500000 65.500000 0.500000 0.000000     -2.20435  42.761246      64.046670    
45.500000 65.500000 0.500000 9.021100     -1.41353  47.758200      63.872172    
50.500000 65.500000 0.500000 11.741100     -1.26047  52.755154      63.697675    
55.500000 65.500000 0.500000 3.016700     -1.54436  57.752108      63.523177    
60.500000 65.500000 0.500000 127.693298     -0.47120  62.749062      63.348680    
65.500000 65.500000 0.500000 262.898895      0.13514  67.746016      63.174182    
70.500000 65.500000 0.500000 72.142197     -0.80209  72.742970      62.999685    
75.500000 65.500000 0.500000 97.559998     -0.67056  77.739924      62.825187    
80.500000 65.500000 0.500000 70.834396     -0.81950  82.736879      62.650690    
85.500000 65.500000 0.500000 86.495598     -0.75125  87.733833      62.476192    
90.500000 65.500000 0.500000 529.451111      0.96909  92.730787      62.301695    
95.500000 65.500000 0.500000 570.859009      1.13232  97.727741      62.127197    
0.500000 70.500000 0.500000 43.395000     -0.93945  2.9601099      70.439604    
5.500000 70.500000 0.500000 139.626694     -0.40905  7.9570640      70.265106    
10.500000 70.500000 0.500000 433.512207      0.69429  12.954018      70.090609    
15.500000 70.500000 0.500000 579.325500      1.16876  17.950972      69.916111    
20.500000 70.500000 0.500000 908.198914      2.13821  22.947926      69.741614    
25.500000 70.500000 0.500000 186.937805     -0.20509  27.944881      69.567116    
30.500000 70.500000 0.500000 0.000000     -1.76538  32.941835      69.392619    
35.500000 70.500000 0.500000 0.000000     -1.79597  37.938789      69.218121    
40.500000 70.500000 0.500000 6.222200     -1.44842  42.935743      69.043624    
45.500000 70.500000 0.500000 53.447800     -0.92014  47.932697      68.869126    
50.500000 70.500000 0.500000 167.692200     -0.29565  52.929651      68.694629    
55.500000 70.500000 0.500000 196.081100     -0.16683  57.926605      68.520131    
60.500000 70.500000 0.500000 361.397797      0.49231  62.923560      68.345634    
65.500000 70.500000 0.500000 530.489990      0.98933  67.920514      68.171136    
70.500000 70.500000 0.500000 475.320007      0.83716  72.917468      67.996639    
75.500000 70.500000 0.500000 241.837799      0.07213  77.914422      67.822141    
80.500000 70.500000 0.500000 356.615601      0.47120  82.911376      67.647644    
85.500000 70.500000 0.500000 472.474487      0.81077  87.908330      67.473146    
90.500000 70.500000 0.500000 289.886688      0.25658  92.905284      67.298649    
95.500000 70.500000 0.500000 160.438904     -0.32194  97.902238      67.124151    
0.500000 75.500000 0.500000 200.315002     -0.14147  3.1346074      75.436558    
5.500000 75.500000 0.500000 102.375603     -0.63950  8.1315615      75.262060    
10.500000 75.500000 0.500000 187.101105     -0.19870  13.128516      75.087563    
15.500000 75.500000 0.500000 594.633423      1.19394  18.125470      74.913065    
20.500000 75.500000 0.500000 637.747803      1.31801  23.122424      74.738568    
25.500000 75.500000 0.500000 0.000000     -1.82833  28.119378      74.564070    
30.500000 75.500000 0.500000 0.000000     -1.86273  33.116332      74.389573    
35.500000 75.500000 0.500000 11.032200     -1.30322  38.113286      74.215075    
40.500000 75.500000 0.500000 112.765602     -0.57174  43.110240      74.040578    
45.500000 75.500000 0.500000 400.736694      0.62419  48.107195      73.866080    
50.500000 75.500000 0.500000 443.401093      0.72655  53.104149      73.691583    
55.500000 75.500000 0.500000 471.752197      0.80209  58.101103      73.517085    
60.500000 75.500000 0.500000 344.989990      0.42272  63.098057      73.342588    
65.500000 75.500000 0.500000 282.286713      0.23720  68.095011      73.168090    
70.500000 75.500000 0.500000 269.575592      0.15414  73.091965      72.993593    
75.500000 75.500000 0.500000 344.885590      0.41588  78.088919      72.819095    
80.500000 75.500000 0.500000 475.114502      0.82830  83.085874      72.644598    
85.500000 75.500000 0.500000 544.807922      1.02048  88.082828      72.470100    
90.500000 75.500000 0.500000 596.428894      1.21991  93.079782      72.295603    
95.500000 75.500000 0.500000 200.982193     -0.12882  98.076736      72.121106    
0.500000 80.500000 0.500000 101.898300     -0.64720  3.3091049      80.433512    
5.500000 80.500000 0.500000 99.077797     -0.66274  8.3060590      80.259014    
10.500000 80.500000 0.500000 179.413300     -0.25658  13.303013      80.084517    
15.500000 80.500000 0.500000 554.612183      1.07472  18.299967      79.910019    
20.500000 80.500000 0.500000 276.581085      0.18593  23.296921      79.735522    
25.500000 80.500000 0.500000 0.000000     -2.28182  28.293876      79.561024    
